Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1990,,Sounds of the Seventies...& the Beat Goes,Music,"Jones, Tom","Welch, Raquel",,13,No,
1990,92,"Sun Shines Bright, The",Action,"Winninger, Charles","Whelan, Arleen","Ford, John",46,No,"Sun Shines Bright, The: a Winninger, Charles and Whelan, Arleen film’s, directed by Ford, John"
1990,108,"Bright Lights, Big City",Drama,"Fox, Michael J.","Wiest, Dianne","Bridges, James",30,No,"Bright Lights, Big City: a Fox, Michael J. and Wiest, Dianne film’s, directed by Bridges, James"
1990,92,"Witches, The",Science Fiction,"Fisher, Jasen","Zetterling, Mai","Roeg, Nicolas",18,No,"Witches, The: a Fisher, Jasen and Zetterling, Mai film’s, directed by Roeg, Nicolas"
1990,94,"Bellboy & the Playgirls, The",Drama,"Wilkinson, June",,"Coppola, Francis Ford",7,No,
1990,94,"Final Alliance, The",Action,"Hasselhoff, David",,"Di Leo, Mario",10,No,
1990,86,Wagonmaster,Western,"Johnson, Ben",,"Ford, John",1,No,
1990,96,Chattahoochee,Drama,"Oldman, Gary",,"Jackson, Mick",30,No,
1990,90,Big Bad John,Action,"English, Doug",,"Kennedy, Burt",84,No,
1990,129,Mo' Better Blues,Drama,"Washington, Denzel",,"Lee, Spike",78,No,
1990,135,"Hunt for Red October, The",Drama,"Connery, Sean",,"McTiernan, John",8,No,
1990,97,"Prom Night III, The Last Kiss",Horror,"Conlon, Tim",,"Oliver, Ron",29,No,
1990,,"Blood in, Blood Out",Drama,"Penn, Sean",,"Olmos, Edward James",88,No,
1990,96,My Blue Heaven,Comedy,"Martin, Steve",,"Ross, Herbert",63,No,
1990,103,Altered States,Science Fiction,"Hurt, William",,"Russell, Ken",22,No,
1990,126,Indiana Jones & the Last Crusade,Action,"Ford, Harrison",,"Spielberg, Steven",8,No,
1990,59,"Erasure, Live Wild!",Music,,,"Taylor, Gavin",48,No,
1990,128,Dead Poets Society,Drama,"Williams, Robin",,"Weir, Peter",8,Yes,
1990,98,Hiroshima,Drama,"Nelson, Judd",,"Werner, Peter",17,No,
1990,,Valkenvania,Comedy,"Chase, Chevy",,,82,No,
1990,60,Live at Harrah's,Comedy,"Cosby, Bill",,,6,No,
1990,,A Married Man,Drama,"Hopkins, Anthony",,,79,No,
1990,45,This Is Horror,Horror,"King, Stephen",,,3,No,
1990,92,Primal Rage,Mystery,"Lowe, Patrick",,,3,No,
1990,50,"Industrial Symphony, The Dream of the Broken-Hearted",Music,"Lynch, David",,,49,No,
1990,98,Another Forty-Eight Hours,Action,"Murphy, Eddie",,,54,No,
1990,,"Two Jakes, The",Mystery,"Nicholson, Jack",,,3,No,
1990,,John Wayne Six Pack,Western,"Wayne, John",,,87,No,
1990,,Sagebrush Trail,Western,"Wayne, John",,,23,No,
1991,113,High Heels,Comedy,"Bos�, Miguel","Abril, Victoria","Almod�var, Pedro",68,No,"High Heels: a Bos�, Miguel and Abril, Victoria film’s, directed by Almod�var, Pedro"
1991,105,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen",79,No,"Predator 2: a Glover, Danny and Alonso, Maria Conchita film’s, directed by Hopkins, Stephen"
1991,115,Bataan,War,"Taylor, Robert","Arnaz, Desi",,68,No,
1991,90,"Henry, Portrait of a Serial Killer",Horror,"Rooker, Michael","Arnold, Tracy",,69,No,
1991,115,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John",51,No,"Flight of the Intruder: a Glover, Danny and Arquette, Rosanna film’s, directed by Milius, John"
1991,89,Bloodbath,Horror,"Hopper, Dennis","Baker, Carroll",,37,No,
1991,116,"Marrying Man, The",Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry",84,No,"Marrying Man, The: a Baldwin, Alec and Basinger, Kim film’s, directed by Rees, Jerry"
1991,91,Raw Nerve,Mystery,"Ford, Glenn","Bergman, Sandahl","Prior, David A.",88,No,"Raw Nerve: a Ford, Glenn and Bergman, Sandahl film’s, directed by Prior, David A."
1991,98,Five Easy Pieces,Drama,"Nicholson, Jack","Black, Karen","Rafelson, Bob",2,No,"Five Easy Pieces: a Nicholson, Jack and Black, Karen film’s, directed by Rafelson, Bob"
1991,119,Meeting Venus,Comedy,"Arestrup, Niels","Close, Glenn","Szab�, Istv�n",74,No,"Meeting Venus: a Arestrup, Niels and Close, Glenn film’s, directed by Szab�, Istv�n"
